======================================================================
Run 4/16  |  size=XS  split=100%
Config : config/train_shakespeare_char_XS.py
Out dir: out-shakespeare-XS-split100
Log    : logs/train_XS_split100.log
======================================================================
Command: /home/nico/uni/jupyter/Advanced NLP/.venv/bin/python train.py config/train_shakespeare_char_XS.py --train_file=train_100.bin --out_dir=out-shakespeare-XS-split100 --wandb_run_name=XS-split100

/home/nico/uni/jupyter/Advanced NLP/nanoGPT/train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_XS.py:
# Baseline configuration
out_dir = 'out-shakespeare-XS'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 2
n_head = 2
n_embd = 64
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = True # set True only on Linux with GPU

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-XS-split100
Overriding: wandb_run_name = XS-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 0.10M
num decayed parameter tensors: 10, with 118,848 parameters
num non-decayed parameter tensors: 5, with 320 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
iter 2370: loss 2.2804, time 2.92ms, mfu 1.82%
iter 2380: loss 2.2757, time 2.69ms, mfu 1.84%
iter 2390: loss 2.2559, time 2.87ms, mfu 1.84%
iter 2400: loss 2.2553, time 2.70ms, mfu 1.85%
iter 2410: loss 2.2629, time 2.94ms, mfu 1.84%
iter 2420: loss 2.2837, time 2.76ms, mfu 1.85%
iter 2430: loss 2.2660, time 2.86ms, mfu 1.85%
iter 2440: loss 2.2641, time 3.00ms, mfu 1.84%
iter 2450: loss 2.2432, time 2.82ms, mfu 1.85%
iter 2460: loss 2.2716, time 2.89ms, mfu 1.85%
iter 2470: loss 2.2514, time 2.75ms, mfu 1.85%
iter 2480: loss 2.2371, time 2.91ms, mfu 1.85%
iter 2490: loss 2.2795, time 2.83ms, mfu 1.85%
step 2500: train loss 2.0570, val loss 2.1382
saving checkpoint to out-shakespeare-XS-split100
iter 2500: loss 2.2593, time 568.58ms, mfu 1.67%
iter 2510: loss 2.2750, time 2.86ms, mfu 1.69%
iter 2520: loss 2.2503, time 2.83ms, mfu 1.71%
iter 2530: loss 2.2392, time 2.74ms, mfu 1.73%
iter 2540: loss 2.2276, time 2.86ms, mfu 1.74%
iter 2550: loss 2.2220, time 2.92ms, mfu 1.75%
iter 2560: loss 2.2536, time 2.76ms, mfu 1.77%
iter 2570: loss 2.2560, time 2.87ms, mfu 1.77%
iter 2580: loss 2.2435, time 2.74ms, mfu 1.79%
iter 2590: loss 2.2104, time 2.86ms, mfu 1.80%
iter 2600: loss 2.2526, time 2.91ms, mfu 1.80%
iter 2610: loss 2.2490, time 2.87ms, mfu 1.80%
iter 2620: loss 2.2316, time 2.92ms, mfu 1.81%
iter 2630: loss 2.2267, time 2.81ms, mfu 1.81%
iter 2640: loss 2.2683, time 2.88ms, mfu 1.82%
iter 2650: loss 2.2642, time 2.87ms, mfu 1.82%
iter 2660: loss 2.2434, time 2.88ms, mfu 1.82%
iter 2670: loss 2.2620, time 2.73ms, mfu 1.83%
iter 2680: loss 2.2022, time 2.88ms, mfu 1.83%
iter 2690: loss 2.2235, time 2.75ms, mfu 1.84%
iter 2700: loss 2.2433, time 2.94ms, mfu 1.84%
iter 2710: loss 2.2416, time 2.86ms, mfu 1.84%
iter 2720: loss 2.2221, time 2.86ms, mfu 1.84%
iter 2730: loss 2.2340, time 2.93ms, mfu 1.84%
iter 2740: loss 2.2477, time 2.88ms, mfu 1.84%
step 2750: train loss 2.0308, val loss 2.1203
saving checkpoint to out-shakespeare-XS-split100
iter 2750: loss 2.2489, time 567.42ms, mfu 1.66%
iter 2760: loss 2.2598, time 2.74ms, mfu 1.68%
iter 2770: loss 2.2142, time 2.93ms, mfu 1.70%
iter 2780: loss 2.2351, time 2.73ms, mfu 1.72%
iter 2790: loss 2.2586, time 2.89ms, mfu 1.73%
iter 2800: loss 2.2101, time 2.80ms, mfu 1.75%
iter 2810: loss 2.2128, time 2.91ms, mfu 1.76%
iter 2820: loss 2.2365, time 2.74ms, mfu 1.77%
iter 2830: loss 2.2476, time 2.94ms, mfu 1.78%
iter 2840: loss 2.2466, time 2.85ms, mfu 1.79%
iter 2850: loss 2.2369, time 2.87ms, mfu 1.79%
iter 2860: loss 2.2372, time 2.86ms, mfu 1.80%
iter 2870: loss 2.2288, time 2.72ms, mfu 1.81%
iter 2880: loss 2.2344, time 2.74ms, mfu 1.83%
iter 2890: loss 2.2241, time 2.76ms, mfu 1.83%
iter 2900: loss 2.2104, time 2.77ms, mfu 1.84%
iter 2910: loss 2.2355, time 2.71ms, mfu 1.85%
iter 2920: loss 2.2258, time 2.76ms, mfu 1.86%
iter 2930: loss 2.2390, time 2.76ms, mfu 1.87%
iter 2940: loss 2.2224, time 2.71ms, mfu 1.88%
iter 2950: loss 2.2288, time 2.86ms, mfu 1.87%
iter 2960: loss 2.2519, time 2.82ms, mfu 1.87%
iter 2970: loss 2.2266, time 2.83ms, mfu 1.87%
iter 2980: loss 2.2397, time 2.83ms, mfu 1.87%
iter 2990: loss 2.1987, time 2.87ms, mfu 1.87%
step 3000: train loss 2.0084, val loss 2.1093
saving checkpoint to out-shakespeare-XS-split100
iter 3000: loss 2.2154, time 567.16ms, mfu 1.69%
iter 3010: loss 2.2352, time 2.75ms, mfu 1.71%
iter 3020: loss 2.2120, time 2.74ms, mfu 1.73%
iter 3030: loss 2.2167, time 2.72ms, mfu 1.75%
iter 3040: loss 2.2324, time 2.81ms, mfu 1.77%
iter 3050: loss 2.2263, time 2.63ms, mfu 1.79%
iter 3060: loss 2.2388, time 2.73ms, mfu 1.81%
iter 3070: loss 2.2361, time 2.80ms, mfu 1.82%
iter 3080: loss 2.2348, time 2.75ms, mfu 1.83%
iter 3090: loss 2.2089, time 2.69ms, mfu 1.84%
iter 3100: loss 2.2158, time 2.64ms, mfu 1.86%
iter 3110: loss 2.2014, time 2.74ms, mfu 1.87%
iter 3120: loss 2.1914, time 2.76ms, mfu 1.87%
iter 3130: loss 2.2140, time 2.71ms, mfu 1.88%
iter 3140: loss 2.2225, time 2.63ms, mfu 1.89%
iter 3150: loss 2.2406, time 2.66ms, mfu 1.90%
iter 3160: loss 2.2145, time 2.90ms, mfu 1.90%
iter 3170: loss 2.2178, time 2.79ms, mfu 1.90%
iter 3180: loss 2.2251, time 3.01ms, mfu 1.88%
