======================================================================
Run 1/1  |  size=M  split=100%
Config : config/train_shakespeare_char_M.py
Out dir: out-shakespeare-M-split100
Log    : logs\train_M_split100.log
======================================================================
Command: C:\Code\_projects\nanoGPT-nlp\.venv\Scripts\python.exe train.py config/train_shakespeare_char_M.py --train_file=train_100.bin --out_dir=out-shakespeare-M-split100 --wandb_run_name=M-split100

C:\Code\_projects\nlp\nanoGPT\train.py:198: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_M.py:
# Baseline configuration
out_dir = 'out-shakespeare-M'
eval_interval = 250
eval_iters = 200
log_interval = 10
always_save_checkpoint = False
wandb_log = False
wandb_project = 'nanoGPT-assignment'
wandb_run_name = 'baseline'
dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2
learning_rate = 1e-3
max_iters = 5000
lr_decay_iters = 5000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 100
weight_decay = 1e-1
device = 'cuda' # change to 'cuda' if you have a GPU
compile = False  # torch.compile needs Triton (Linux); on Windows leave False

Overriding: train_file = train_100.bin
Overriding: out_dir = out-shakespeare-M-split100
Overriding: wandb_run_name = M-split100
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 1600: loss 1.1961, time 93.99ms, mfu 3.91%
iter 1610: loss 1.2377, time 94.73ms, mfu 3.91%
iter 1620: loss 1.1833, time 93.61ms, mfu 3.92%
iter 1630: loss 1.2064, time 93.72ms, mfu 3.93%
iter 1640: loss 1.2036, time 93.85ms, mfu 3.93%
iter 1650: loss 1.1808, time 78.21ms, mfu 4.01%
iter 1660: loss 1.2184, time 94.90ms, mfu 4.00%
iter 1670: loss 1.1956, time 94.52ms, mfu 4.00%
iter 1680: loss 1.1964, time 93.62ms, mfu 4.00%
iter 1690: loss 1.2056, time 94.13ms, mfu 3.99%
iter 1700: loss 1.1919, time 93.58ms, mfu 3.99%
iter 1710: loss 1.1801, time 94.60ms, mfu 3.99%
iter 1720: loss 1.1843, time 94.28ms, mfu 3.98%
iter 1730: loss 1.1983, time 94.40ms, mfu 3.98%
iter 1740: loss 1.1681, time 92.98ms, mfu 3.98%
step 1750: train loss 1.1015, val loss 1.4637
saving checkpoint to out-shakespeare-M-split100
iter 1750: loss 1.1860, time 11975.90ms, mfu 3.59%
iter 1760: loss 1.1864, time 94.51ms, mfu 3.62%
iter 1770: loss 1.1913, time 77.94ms, mfu 3.74%
iter 1780: loss 1.1947, time 93.71ms, mfu 3.76%
iter 1790: loss 1.2047, time 95.65ms, mfu 3.78%
iter 1800: loss 1.1844, time 93.70ms, mfu 3.80%
iter 1810: loss 1.1630, time 93.63ms, mfu 3.81%
iter 1820: loss 1.1640, time 93.27ms, mfu 3.83%
iter 1830: loss 1.1650, time 93.79ms, mfu 3.85%
iter 1840: loss 1.1554, time 96.45ms, mfu 3.85%
iter 1850: loss 1.1630, time 93.25ms, mfu 3.86%
iter 1860: loss 1.1726, time 95.43ms, mfu 3.87%
iter 1870: loss 1.1436, time 94.93ms, mfu 3.87%
iter 1880: loss 1.1811, time 93.59ms, mfu 3.88%
iter 1890: loss 1.1780, time 91.40ms, mfu 3.90%
iter 1900: loss 1.1284, time 81.68ms, mfu 3.97%
iter 1910: loss 1.1666, time 95.02ms, mfu 3.96%
iter 1920: loss 1.1730, time 94.33ms, mfu 3.96%
iter 1930: loss 1.1470, time 81.65ms, mfu 4.02%
iter 1940: loss 1.1250, time 92.46ms, mfu 4.02%
iter 1950: loss 1.1397, time 93.33ms, mfu 4.02%
iter 1960: loss 1.1508, time 93.75ms, mfu 4.02%
iter 1970: loss 1.1493, time 93.09ms, mfu 4.01%
iter 1980: loss 1.1492, time 94.61ms, mfu 4.01%
iter 1990: loss 1.1557, time 93.20ms, mfu 4.01%
step 2000: train loss 1.0604, val loss 1.4751
iter 2000: loss 1.1300, time 11871.28ms, mfu 3.61%
iter 2010: loss 1.1317, time 79.15ms, mfu 3.72%
iter 2020: loss 1.1299, time 94.69ms, mfu 3.74%
iter 2030: loss 1.1491, time 92.13ms, mfu 3.77%
iter 2040: loss 1.1400, time 93.02ms, mfu 3.79%
iter 2050: loss 1.1184, time 80.09ms, mfu 3.88%
iter 2060: loss 1.1005, time 93.27ms, mfu 3.89%
iter 2070: loss 1.1314, time 92.72ms, mfu 3.90%
iter 2080: loss 1.1248, time 92.90ms, mfu 3.91%
iter 2090: loss 1.1308, time 93.40ms, mfu 3.92%
iter 2100: loss 1.1341, time 92.71ms, mfu 3.93%
iter 2110: loss 1.1356, time 94.15ms, mfu 3.93%
iter 2120: loss 1.1245, time 92.95ms, mfu 3.94%
iter 2130: loss 1.1356, time 93.03ms, mfu 3.95%
iter 2140: loss 1.1392, time 93.56ms, mfu 3.95%
